ID,Sample,CL,PL,Loai I,Loai II,Loai III,Loai IV,Loai V,Loai VI,Loai VII,Loai,Result
0,TVAA0501,3,2,3,3,3,2,3,3,2,2,0
1,TVAA0503,4,2,3,4,2,0,4,4,3,1,0
2,TVAA0508,4,2,3,4,2,0,4,4,3,1,0
3,TVAA0509,4,2,3,4,2,0,4,3,3,1,0
4,TVAA0602,3,3,3,3,2,1,3,3,2,2,0
5,TVAA0610,3,3,3,3,2,0,3,3,2,1,0
6,TVAA0705,3,2,3,3,2,2,3,3,2,2,0
7,TVAA0707,3,2,3,3,2,2,3,3,2,2,0
8,TVAA0708,3,3,1,2,1,0,2,3,2,1,1
9,TVAA0904,3,2,3,3,2,2,3,3,2,2,0
10,TVAA0907,3,2,3,3,2,2,3,3,2,2,1
11,TVAA1001,3,3,2,2,2,0,2,3,2,1,0
12,TVAA1003,3,3,3,3,2,0,3,3,2,2,0
13,TVAB0202,3,2,3,3,2,2,3,2,2,2,0
14,TVAB0203,3,3,2,2,2,0,2,3,2,1,1
15,TVAB0205,4,2,3,3,2,2,3,3,3,2,0
16,TVAB0310,3,3,3,3,2,0,3,3,2,2,0
17,TVAB0401,3,3,2,3,3,0,3,3,2,1,0
18,TVAB0402,3,3,2,3,2,1,3,3,2,1,0
19,TVAB0403,3,3,3,3,2,0,3,3,2,2,1
20,TVAB0404,3,3,3,3,2,0,3,3,2,1,0
21,TVAB0504,3,3,2,3,2,2,3,3,2,2,0
22,TVAB0505,3,3,2,3,2,0,2,3,2,2,1
23,TVAB0508,3,2,3,4,2,2,3,3,2,2,0
24,TVAB0509,3,3,3,3,2,0,2,3,2,2,0
25,TVAB0510,3,3,3,3,2,0,3,2,2,2,0
26,TVAB0605,4,2,3,3,3,0,3,3,3,2,0
27,TVAB0607,3,3,2,3,2,0,3,3,2,1,0
28,TVAB0702,3,3,3,2,2,0,2,3,3,2,0
29,TVAB0704,4,3,3,3,2,1,3,3,3,2,0
30,TVAB0803,3,2,3,3,2,2,3,3,2,2,0
31,TVAB0804,4,2,3,3,3,0,3,3,3,2,0
32,TVAB0806,3,2,3,3,2,2,3,3,2,2,0
33,TVAB0807,4,3,3,3,2,1,3,3,3,2,0
34,TVBA0108,3,3,3,3,2,0,3,3,2,2,0
35,TVBA0206,3,3,3,2,2,1,2,2,2,2,0
36,TVBA0304,3,3,3,2,2,0,2,3,2,2,0
37,TVBA0306,3,3,3,2,2,1,2,3,2,2,0
38,TVBA0308,3,2,3,3,2,2,3,3,2,2,0
39,TVBA0309,3,3,2,3,2,0,3,2,2,1,0
